mode: set
sms/handlers/auth_handler.go:14.60,16.2 1 1
sms/handlers/auth_handler.go:33.69,34.33 1 1
sms/handlers/auth_handler.go:34.33,37.3 2 1
sms/handlers/auth_handler.go:39.2,40.61 2 1
sms/handlers/auth_handler.go:40.61,43.3 2 1
sms/handlers/auth_handler.go:45.2,46.16 2 1
sms/handlers/auth_handler.go:46.16,49.3 2 1
sms/handlers/auth_handler.go:51.2,52.16 2 1
sms/handlers/auth_handler.go:52.16,55.3 2 0
sms/handlers/auth_handler.go:56.2,56.73 1 1
sms/handlers/auth_handler.go:59.70,60.33 1 1
sms/handlers/auth_handler.go:60.33,63.3 2 1
sms/handlers/auth_handler.go:65.2,66.61 2 1
sms/handlers/auth_handler.go:66.61,69.3 2 1
sms/handlers/auth_handler.go:70.2,70.61 1 1
sms/handlers/auth_handler.go:70.61,73.3 2 1
sms/handlers/auth_handler.go:75.2,76.16 2 1
sms/handlers/auth_handler.go:76.16,79.3 2 1
sms/handlers/auth_handler.go:81.2,82.16 2 1
sms/handlers/auth_handler.go:82.16,85.3 2 0
sms/handlers/auth_handler.go:87.2,87.74 1 1
sms/handlers/grades_handler.go:29.63,31.2 1 1
sms/handlers/grades_handler.go:33.83,34.32 1 1
sms/handlers/grades_handler.go:34.32,37.3 2 1
sms/handlers/grades_handler.go:38.2,39.37 2 1
sms/handlers/grades_handler.go:39.37,42.3 2 1
sms/handlers/grades_handler.go:43.2,45.16 3 1
sms/handlers/grades_handler.go:45.16,48.3 2 1
sms/handlers/grades_handler.go:49.2,49.19 1 1
sms/handlers/grades_handler.go:49.19,52.3 2 1
sms/handlers/grades_handler.go:54.2,55.16 2 1
sms/handlers/grades_handler.go:55.16,58.3 2 1
sms/handlers/grades_handler.go:59.2,59.58 1 1
sms/handlers/grades_handler.go:62.76,64.37 2 1
sms/handlers/grades_handler.go:64.37,67.3 2 1
sms/handlers/grades_handler.go:68.2,71.16 3 1
sms/handlers/grades_handler.go:71.16,74.3 2 1
sms/handlers/grades_handler.go:76.2,78.16 3 1
sms/handlers/grades_handler.go:78.16,81.3 2 1
sms/handlers/grades_handler.go:83.2,83.19 1 1
sms/handlers/grades_handler.go:83.19,86.3 2 1
sms/handlers/grades_handler.go:88.2,89.16 2 1
sms/handlers/grades_handler.go:89.16,92.3 2 1
sms/handlers/grades_handler.go:93.2,93.58 1 1
sms/handlers/grades_handler.go:96.74,97.33 1 1
sms/handlers/grades_handler.go:97.33,100.3 2 1
sms/handlers/grades_handler.go:101.2,102.37 2 1
sms/handlers/grades_handler.go:102.37,105.3 2 1
sms/handlers/grades_handler.go:106.2,107.61 2 1
sms/handlers/grades_handler.go:107.61,110.3 2 1
sms/handlers/grades_handler.go:111.2,112.16 2 1
sms/handlers/grades_handler.go:112.16,115.3 2 1
sms/handlers/grades_handler.go:116.2,116.79 1 1
sms/handlers/grades_handler.go:119.77,120.34 1 1
sms/handlers/grades_handler.go:120.34,123.3 2 1
sms/handlers/grades_handler.go:124.2,125.37 2 1
sms/handlers/grades_handler.go:125.37,128.3 2 1
sms/handlers/grades_handler.go:129.2,130.61 2 1
sms/handlers/grades_handler.go:130.61,133.3 2 1
sms/handlers/grades_handler.go:134.2,135.16 2 1
sms/handlers/grades_handler.go:135.16,138.3 2 1
sms/handlers/grades_handler.go:139.2,139.69 1 1
sms/handlers/students_handler.go:37.69,39.2 1 1
sms/handlers/students_handler.go:41.78,42.33 1 1
sms/handlers/students_handler.go:42.33,45.3 2 0
sms/handlers/students_handler.go:47.2,48.21 2 1
sms/handlers/students_handler.go:48.21,51.3 2 1
sms/handlers/students_handler.go:53.2,54.61 2 1
sms/handlers/students_handler.go:54.61,57.3 2 1
sms/handlers/students_handler.go:60.2,61.16 2 1
sms/handlers/students_handler.go:61.16,64.3 2 1
sms/handlers/students_handler.go:66.2,75.78 2 1
sms/handlers/students_handler.go:78.81,79.34 1 1
sms/handlers/students_handler.go:79.34,82.3 2 0
sms/handlers/students_handler.go:84.2,85.35 2 1
sms/handlers/students_handler.go:85.35,88.3 2 1
sms/handlers/students_handler.go:89.2,90.21 2 1
sms/handlers/students_handler.go:90.21,93.3 2 1
sms/handlers/students_handler.go:94.2,95.71 2 1
sms/handlers/students_handler.go:95.71,98.3 2 1
sms/handlers/students_handler.go:99.2,100.16 2 1
sms/handlers/students_handler.go:100.16,103.3 2 1
sms/handlers/students_handler.go:104.2,104.70 1 1
